segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
1776,8402,,tertiary,11.503977392954683,0.0,0.0,False,False
1777,8403,,tertiary,20.586687081296002,0.0,0.0,False,False
1778,8404,,tertiary,83.92773352223571,0.0,0.0,False,False
1779,8405,,tertiary,48.150053544669866,0.0,0.0,False,False
1780,8406,,tertiary,11.601406289319664,0.0,0.0,False,False
1781,8450,,tertiary,74.59924176692893,0.0,0.0,False,False
1782,8451,,tertiary,226.09602868407455,0.0,0.0,False,False
1783,8452,,tertiary,323.9111549407981,0.0,0.0,False,False
1784,8453,,tertiary,6.516957322286609,0.0,0.0,False,False
1785,8454,,tertiary,103.81893588463876,0.0,0.0,False,False
1786,8455,,tertiary,47.922507511154954,0.0,0.0,False,False
1787,8456,,tertiary,90.17256844675293,0.0,0.0,False,False
1788,8457,,tertiary,26.056625118819035,0.0,0.0,False,False
1789,8458,,tertiary,11.449503580308704,0.0,0.0,False,False
1790,8459,,tertiary,34.39341781794094,0.0,0.0,False,False
1791,8460,طريق الملك عبدالعزيز,trunk,124.59439850129985,0.0,0.0,False,True
1792,8461,طريق الملك عبدالعزيز,trunk,496.71437055502463,0.0,0.0,False,True
1793,8462,طريق الملك عبدالعزيز,trunk,30.792954793465423,0.0,0.0,False,True
1794,8463,طريق الملك عبدالعزيز,trunk,66.72880675152987,0.0,0.0,False,True
1795,8464,طريق الملك عبدالعزيز,trunk,87.88171763379442,0.0,0.0,False,True
1796,8465,طريق الملك عبدالعزيز,trunk,329.65858386191326,0.0,0.0,False,True
1797,8466,طريق الملك عبدالعزيز,trunk,84.52813514294994,0.0,0.0,False,True
1798,8467,طريق الملك عبدالعزيز,trunk,67.73194256427679,0.0,0.0,False,True
1799,8468,طريق الملك عبدالعزيز,trunk,97.1817134999566,0.0,0.0,False,True
1800,8469,طريق الملك عبدالعزيز,trunk,174.51214533774265,0.0,0.0,False,True
1801,8470,طريق الملك عبدالعزيز,trunk,50.59646782920495,0.0,0.0,False,True
1802,8471,طريق الملك عبدالعزيز,trunk,16.29583999555623,0.0,0.0,False,True
1803,8472,طريق الملك عبدالعزيز,trunk,89.0363415547238,0.0,0.0,False,True
1804,8473,طريق الملك عبدالعزيز,trunk,127.22901752988007,0.0,0.0,False,True
1805,8474,طريق الملك عبدالعزيز,trunk,117.87645891353476,0.0,0.0,False,True
1806,8475,طريق الملك عبدالعزيز,trunk,568.8649868734067,0.0,0.0,False,True
1807,8476,طريق الملك عبدالعزيز,trunk,97.59296629939544,0.0,0.0,False,True
1808,8477,طريق الملك عبدالعزيز,trunk,246.61288591802128,0.0,0.0,False,True
1809,8478,,motorway,201.51455036223393,0.0,0.0,False,True
1810,8479,,primary,150.1210284491948,0.0,0.0,False,True
1811,8480,,primary,8.461221852505425,0.0,0.0,False,True
1812,8481,,primary,63.19764807559025,0.28610927322138935,0.018081433160208264,False,True
1813,8482,,primary,132.15706850329275,0.28610927322138935,0.03781136282054646,False,True
1814,8483,,primary,61.251916325136875,0.28610927322138935,0.017524741263202265,False,True
1815,8484,,primary,45.09908037470109,0.28610927322138935,0.012903265108958752,False,True
1816,8485,,primary,44.522517665316585,0.28610927322138935,0.012738305171210197,False,True
1817,8486,,primary,29.699074000409418,0.28610927322138935,0.0084971804776054,False,True
1818,8487,,primary,62.912869808261874,0.28610927322138935,0.017999955457113692,False,True
1819,8488,,primary,58.79753545076695,0.28610927322138935,0.01682252013502781,False,True
1820,8489,,primary,140.82049716927307,0.28610927322138935,0.04029005009977543,False,True
1821,8490,,tertiary,89.6382121927918,0.0,0.0,False,False
1822,8491,,tertiary,64.06758419913132,0.0,0.0,False,False
1823,8492,,tertiary,65.54917073319632,0.0,0.0,False,False
1824,8493,,tertiary,68.50156050088283,0.0,0.0,False,False
1825,8494,,tertiary,119.16505481031514,0.0,0.0,False,False
1826,8495,,tertiary,87.11354611336134,0.0,0.0,False,False
1827,8496,,tertiary,50.02891043515354,0.0,0.0,False,False
1828,8497,,tertiary,26.288299211523178,0.0,0.0,False,False
1829,8498,,tertiary,28.965368034210346,0.0,0.0,False,False
1830,8499,,tertiary,21.95056108910546,0.0,0.0,False,False
1831,8500,,tertiary,46.08708889818739,0.0,0.0,False,False
1832,8501,,tertiary,23.647581446619856,0.0,0.0,False,False
1833,8502,,tertiary,44.29105967646151,0.0,0.0,False,False
1834,8503,,tertiary,202.28045186377898,0.0,0.0,False,False
1835,8504,,tertiary,77.07358780506667,0.0,0.0,False,False
1836,8505,,tertiary,156.98501402458407,0.0,0.0,False,False
1837,8506,,tertiary,188.63439125095132,0.0,0.0,False,False
1838,8507,,tertiary,19.793148261313508,0.0,0.0,False,False
1839,8508,,tertiary,69.23780470078165,0.0,0.0,False,False
1840,8509,,tertiary,87.91542736402305,0.0,0.0,False,False
1841,8510,,tertiary,13.341105718000476,0.0,0.0,False,False
1842,8511,,tertiary,43.32457035266335,0.0,0.0,False,False
1843,8512,,tertiary,137.76410560291015,0.0,0.0,False,False
1844,8513,,tertiary,195.6895374593616,0.0,0.0,False,False
1845,8514,,motorway,10.496598473180018,0.28610927322138935,0.00300317416045828,False,True
1846,8515,,motorway,28.64334367705621,0.28610927322138935,0.00819512624207303,False,True
1847,8516,,motorway,180.0082563931216,0.28610927322138935,0.05150203141048554,False,True
1848,8517,,tertiary,148.10962957938872,0.0,0.0,False,False
1849,8518,,tertiary,17.700401871882324,0.0,0.0,False,False
1850,8519,,tertiary,279.18619669080203,0.0,0.0,False,False
1851,8520,,tertiary,156.78271445504998,0.0,0.0,False,False
1852,8521,,tertiary,124.04900539173286,0.28610927322138935,0.0354915707764649,False,False
1853,8522,,tertiary,33.21124168738036,0.28610927322138935,0.009502044221956302,False,False
1854,8523,,tertiary,31.379003363929694,0.28610927322138935,0.008977823846865457,False,False
1855,8524,,tertiary,37.33011792420934,0.28610927322138935,0.010680492908564293,False,False
1856,8525,,tertiary,13.14353431799284,0.28610927322138935,0.003760487051281321,False,False
1857,8526,,tertiary,64.76315820899279,0.28610927322138935,0.018529340126696783,False,False
1858,8527,,tertiary,16.46522154681478,0.28610927322138935,0.004710852570188337,False,False
1859,8528,,tertiary,32.643689757348916,0.28610927322138935,0.00933966235173961,False,False
1860,8529,,tertiary,7.895705529277873,0.28610927322138935,0.0022590345705517977,False,False
1861,8530,,tertiary,230.529544236948,0.28610927322138935,0.06595664035769132,False,False
1862,8531,,tertiary,306.5650558127931,0.28610927322138935,0.0877111053136729,False,False
1863,8532,,tertiary,41.733626226299876,0.28610927322138935,0.011940377468499772,False,False
1864,8533,,tertiary,99.01227385161437,0.0,0.0,False,False
1865,8534,,tertiary,60.000240551816255,0.0,0.0,False,False
1866,8535,,tertiary,148.98618161809654,0.0,0.0,False,False
1867,8536,,tertiary,143.28327935083882,0.0,0.0,False,False
1868,8537,,tertiary,58.85195322893376,0.0,0.0,False,False
