origin_index,endpoint_key,name,demand_weight,accessibility,reachable
241,,,,2.6568996995851313,True
242,,,,2.5500541439333126,True
243,,,,2.565074336921621,True
244,,,,1.9950641636109727,True
245,,,,1.755171644011349,True
246,,,,1.7343018338466216,True
247,,,,2.3995643456321245,True
248,,,,2.4727031294820363,True
249,,,,2.2452696347264296,True
250,,,,3.054619961131232,True
251,,,,2.886728767358204,True
252,,,,2.9494655030073136,True
253,,,,2.9500756034175986,True
254,,,,2.7587089194445946,True
255,,,,2.7298187680707664,True
256,,,,2.799869954252342,True
257,,,,2.9937265987435757,True
258,,,,3.1345328218056583,True
259,,,,2.9760441785599254,True
260,,,,2.9380602701562966,True
261,,,,2.772017928766452,True
262,,,,2.6018425205040456,True
263,,,,2.6062504379007576,True
264,,,,2.5760986099355185,True
265,,,,2.539182613938467,True
266,,,,2.5027874688764125,True
267,,,,2.354941271805981,True
268,,,,2.5625129899506947,True
269,,,,2.686937469274705,True
270,,,,2.737340471997719,True
271,,,,2.5799684120095066,True
272,,,,2.6596401554940967,True
273,,,,2.627236125874119,True
274,,,,2.7731425629044484,True
275,,,,2.7568774040821173,True
276,,,,2.535052747847243,True
277,,,,2.533197219763284,True
278,,,,2.5210278345914916,True
279,,,,2.052202520002592,True
280,,,,2.3966622983737507,True
281,,,,2.2007868929783716,True
282,,,,2.3049506284834242,True
283,,,,2.461348627502007,True
284,,,,2.470543283075185,True
285,,,,2.0897609122661374,True
286,,,,1.9653000445014803,True
287,,,,1.9210801371446877,True
288,,,,1.9299416400894647,True
289,,,,2.024254508682431,True
290,,,,2.054114439692356,True
291,,,,2.1450714747390927,True
292,,,,2.0062354452687656,True
293,,,,2.276967381639822,True
294,,,,2.0256116852246806,True
295,,,,2.1142769858919124,True
296,,,,2.2204609272891087,True
297,,,,3.142682328628701,True
298,,,,2.808110399047193,True
299,,,,2.9101628653238367,True
300,,,,3.206574195735647,True
301,,,,2.9141889361804645,True
302,,,,2.198957147824273,True
303,,,,1.6517614998424865,True
304,,,,1.8964927882509173,True
305,,,,2.079135363001787,True
306,,,,3.383186256176758,True
307,,,,0.20753882450648364,True
308,,,,1.8317845366449819,True
309,,,,1.6816654420929518,True
310,,,,1.135526788519404,True
311,,,,1.1836375392662664,True
312,,,,1.2598151720570079,True
313,,,,1.744755252468189,True
314,,,,1.4590196182687905,True
315,,,,2.305656615163622,True
316,,,,1.8771682101514335,True
317,,,,1.655257139761042,True
318,,,,2.432593847553423,True
319,,,,1.9268292905704731,True
320,,,,1.82713387345629,True
321,,,,1.4233083965142581,True
322,,,,1.0368377510577271,True
323,,,,1.2941387768407069,True
324,,,,1.444469364330066,True
325,,,,1.4326041696480025,True
326,,,,0.18889890286380148,True
327,,,,1.0039011685865955,True
328,,,,1.283771710875641,True
329,,,,0.8788467688032909,True
330,,,,1.0373173807113503,True
331,,,,1.1071959112516139,True
332,,,,0.4718864408534735,True
333,,,,0.5748951564406901,True
334,,,,0.09556070943254351,True
335,,,,0.12372398809530988,True
336,,,,1.812426320509461,True
337,,,,1.1744087283417026,True
338,,,,3.606236921267227,True
339,,,,3.2908532703158713,True
340,,,,3.7289727383608606,True
341,,,,3.8804015951767665,True
342,,,,3.861664355087591,True
343,,,,3.7619953510832618,True
344,,,,3.6785581699705125,True
345,,,,3.756147671141856,True
346,,,,3.6251981532189665,True
347,,,,3.6255490142619418,True
348,,,,3.585032655500141,True
349,,,,3.526417614270015,True
350,,,,3.6963623491354882,True
351,,,,3.6621819179200257,True
352,,,,3.8155691316734766,True
353,,,,3.484544884405783,True
354,,,,3.8476217998707796,True
355,,,,3.4817598898613453,True
356,,,,3.4498122307902155,True
357,,,,3.4179166739626283,True
358,,,,3.813095447855314,True
359,,,,3.565534248405574,True
360,,,,3.447298957195308,True
361,,,,3.8328831459641113,True
362,,,,3.493936013275891,True
363,,,,3.8435169617245264,True
364,,,,3.5939399138306407,True
365,,,,3.443658746923898,True
366,,,,3.2970207194462815,True
367,,,,2.042792603983126,True
368,,,,2.0084991078982064,True
369,,,,1.9408865203678571,True
370,,,,1.9186365828836858,True
371,,,,2.4749115045168377,True
372,,,,2.96453270434535,True
373,,,,3.5776551076663385,True
374,,,,1.3951224638776383,True
375,,,,2.6353158515142914,True
376,,,,2.169946497220424,True
377,,,,0.0,False
378,,,,0.0,False
379,,,,0.0,False
380,,,,0.0,False
381,,,,0.0,False
382,,,,0.0,False
383,,,,0.21913662866880662,True
384,,,,0.16986472364616384,True
385,,,,0.12616162117453888,True
386,,,,0.5767063097112793,True
387,,,,0.0,False
