segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
8425,8425,,residential,79.18273230467555,0.0,0.0,True,False
8426,8426,,residential,202.96998093146658,0.0,0.0,True,False
8427,8427,,residential,115.59059335942698,0.0,0.0,True,False
8428,8428,,residential,74.1417801540972,0.0,0.0,True,False
8429,8429,,residential,155.327231683929,0.0,0.0,True,False
8430,8430,,residential,70.46773559806839,0.0,0.0,True,False
8431,8431,,residential,100.91166624885633,0.0,0.0,True,False
8432,8432,,residential,76.66561441297398,0.0,0.0,True,False
8433,8433,,residential,74.6670687814955,0.0,0.0,True,False
8434,8434,,residential,40.709725292593085,0.0,0.0,True,False
8435,8435,,residential,18.07460594937359,0.0,0.0,True,False
8436,8436,,residential,104.33656515407745,0.0,0.0,True,False
8437,8437,,residential,91.22320055251627,0.0,0.0,True,False
8438,8438,,residential,68.69425361429722,0.0,0.0,True,False
8439,8439,,residential,12.16252956060027,0.0,0.0,True,False
8440,8440,,residential,40.72525791314373,0.0,0.0,True,False
8441,8441,,residential,12.423431044364827,0.0,0.0,True,False
8442,8442,,residential,84.92601885888915,0.0,0.0,True,False
8443,8443,,residential,62.26213906025312,0.0,0.0,True,False
8444,8444,,residential,112.9025909594786,0.0,0.0,True,False
8445,8445,,residential,103.28161303769733,0.0,0.0,True,False
8446,8446,,residential,105.74024674632325,0.0,0.0,True,False
8447,8447,,residential,81.71365534843159,0.0,0.0,True,False
8448,8448,,residential,106.08781459984232,0.0,0.0,True,False
8449,8449,,residential,120.49960399446617,0.0,0.0,True,False
8450,8450,,tertiary,74.59924176692893,0.0,0.0,False,False
8451,8451,,tertiary,226.09602868407455,0.0,0.0,False,False
8452,8452,,tertiary,323.9111549407981,0.0,0.0,False,False
8453,8453,,tertiary,6.516957322286609,0.0,0.0,False,False
8454,8454,,tertiary,103.81893588463876,0.0,0.0,False,False
8455,8455,,tertiary,47.922507511154954,0.0,0.0,False,False
8456,8456,,tertiary,90.17256844675293,0.0,0.0,False,False
8457,8457,,tertiary,26.056625118819035,0.0,0.0,False,False
8458,8458,,tertiary,11.449503580308704,0.0,0.0,False,False
8459,8459,,tertiary,34.39341781794094,0.0,0.0,False,False
8460,8460,طريق الملك عبدالعزيز,trunk,124.59439850129985,0.0,0.0,False,True
8461,8461,طريق الملك عبدالعزيز,trunk,496.71437055502463,0.0,0.0,False,True
8462,8462,طريق الملك عبدالعزيز,trunk,30.792954793465423,0.0,0.0,False,True
8463,8463,طريق الملك عبدالعزيز,trunk,66.72880675152987,0.0,0.0,False,True
8464,8464,طريق الملك عبدالعزيز,trunk,87.88171763379442,0.0,0.0,False,True
